Id,Label,kingdom,phylum,class,order,family,genus,species,category,taxon,aggregate
Quiscalus mexicanus,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,Quiscalus mexicanus,vert.endo,Bird,Quiscalus mexicanus
Regulus calendula,,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,Regulus calendula,vert.endo,Bird,Regulus calendula
Sayornis nigricans,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis nigricans,vert.endo,Bird,Sayornis nigricans
Sayornis saya,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis saya,vert.endo,Bird,Sayornis saya
Selasphorus platycercus,,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,Selasphorus platycercus,vert.endo,Bird,Selasphorus platycercus
Sialia currucoides,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia currucoides,vert.endo,Bird,Sialia currucoides
Sialia mexicana,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia mexicana,vert.endo,Bird,Sialia mexicana
Sitta carolinensis,,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta carolinensis,vert.endo,Bird,Sitta carolinensis
Sitta pygmaea,,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta pygmaea,vert.endo,Bird,Sitta pygmaea
Sphyrapicus nuchalis,,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,Sphyrapicus nuchalis,vert.endo,Bird,Sphyrapicus nuchalis
Spinus lawrencei,,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus lawrencei,vert.endo,Bird,Spinus lawrencei
Spinus pinus,,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus pinus,vert.endo,Bird,Spinus pinus
Spinus psaltria,,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus psaltria,vert.endo,Bird,Spinus psaltria
Spizella atrogularis,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,Spizella atrogularis,vert.endo,Bird,Spizella atrogularis
Spizella breweri,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,Spizella breweri,vert.endo,Bird,Spizella breweri
